Licence number,Licence type,Start date,Status,Status date,Trading Status,Licence name,Address,Suburb,Postcode,Latitude,Longitude,LGA,Precinct,Region,Licensee,Business type,Authorisation restriction name,Extended trading,Reduced trading,Primary service,Right to keep gaming,Unrestricted,To 12am,To 3am,To 5am,SA2,Subject to Cap,Band,GMEs,PMPs,Auth limit,Unfulfilled Quota,GMT,EGMs,Year,Licensee ABN,Licensee ACN,Licensee Type
LIQH400110480,Liquor - hotel licence,1960-04-01 00:00:00,Current,1960-04-01 00:00:00,Trading,Sanctuary Hotel,545-553 Kent St,SYDNEY,2000.0,-33.875991,151.205242,Sydney,Sydney CBD Precinct,Metropolitan,Jason Dumbrell,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2.0,15,15,30,0,30,30,2022,,,
LIQH400101694,Liquor - hotel licence,1960-03-28 00:00:00,Current,1960-03-28 00:00:00,Trading,Crown on McCredie,Fairfield & McCredie Rds,GUILDFORD WEST,2161.0,-33.850991,150.959998,Cumberland,,Metropolitan,Anthony Bensley,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Guildford West - Merrylands West,Yes,3.0,16,13,29,0,29,29,2022,,,
LIQH400112297,Liquor - hotel licence,1960-03-16 00:00:00,Current,1960-03-16 00:00:00,Trading,Chatswood Monkey Bar,53 Orchard Rd,CHATSWOOD,2067.0,-33.795416,151.181493,Willoughby,,Metropolitan,Chattiya Sutthiwan,Full hotel,"Extended trading authorisation,Reduced trading hours,Right to keep gaming machines",Yes,Yes,No,Yes,No,Yes,Yes,No,Chatswood (East) - Artarmon,No,1.0,26,4,30,0,30,30,2022,,,
LIQH400111266,Liquor - hotel licence,1960-03-15 00:00:00,Current,1960-03-15 00:00:00,Trading,Mountain View Hotel Motel,Denham St,TOORAWEENAH,2817.0,-31.440162,148.909251,Gilgandra,,Country,Ashlee Jenkin,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Gilgandra,Yes,3.0,0,0,0,0,0,0,2022,,,
LIQH400101252,Liquor - hotel licence,1960-03-14 00:00:00,Current,2022-10-28 00:00:00,Trading,Kent St. Hotel,347 Kent St,SYDNEY,2000.0,-33.868497,151.204148,Sydney,Sydney CBD Precinct,Metropolitan,NETTLEWOOD MANAGEMENT PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,18,0,18,0,18,18,2022,,,
LIQH400103468,Liquor - hotel licence,1960-03-14 00:00:00,Current,1960-03-14 00:00:00,Trading,Liverpool Hotel,Cnr Moore & Macquarie Sts,LIVERPOOL,2170.0,-33.922792,150.923958,Liverpool,,Metropolitan,Netti Rua,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Liverpool,Yes,3.0,23,7,30,0,30,30,2022,,,
LIQH400104448,Liquor - hotel licence,1960-03-14 00:00:00,Current,1960-03-14 00:00:00,Trading,The Colombian Hotel,117-125 Oxford St,DARLINGHURST,2010.0,-33.879647,151.215314,Sydney,Sydney CBD Precinct,Metropolitan,Michael Gallagher,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Darlinghurst,No,1.0,15,15,30,0,30,30,2022,,,
LIQH400106564,Liquor - hotel licence,1960-03-14 00:00:00,Current,1960-03-14 00:00:00,Trading,Wiley Park Hotel,67 King Georges Rd,WILEY PARK,2195.0,-33.922044,151.067509,Canterbury-Bankstown,,Metropolitan,Leigh Butcher,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Wiley Park,Yes,3.0,15,15,30,0,30,30,2022,,,
LIQH400116411,Liquor - hotel licence,1960-03-14 00:00:00,Current,1960-03-14 00:00:00,Trading,Great Northern Hotel,Jonson St,BYRON BAY,2481.0,-28.643265,153.612675,Byron,,Country,SCOTTS GNH PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Byron Bay,No,1.0,27,0,27,0,27,27,2022,,,
LIQH400118376,Liquor - hotel licence,1960-03-14 00:00:00,Current,1960-03-14 00:00:00,Trading,Canobolas Hotel,248 Summer St,ORANGE,2800.0,-33.28409,149.101419,Orange,,Country,CARMEL WILKINS,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Orange,Yes,3.0,14,0,14,0,14,14,2022,,,
LIQH400116608,Liquor - hotel licence,1960-03-10 00:00:00,Current,1960-03-10 00:00:00,Trading,Prince of Wales Hotel,Sydney & Maitland Sts,MUSWELLBROOK,2333.0,-32.268133,150.887202,Muswellbrook,,Country,Upper Hunter Motors,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Muswellbrook,Yes,3.0,0,0,0,0,0,0,2022,,,
LIQH400113552,Liquor - hotel licence,1960-03-08 00:00:00,Current,1960-03-08 00:00:00,Trading,Commercial Hotel Motel,198 Main St,LITHGOW,2790.0,-33.482467,150.152756,Lithgow,,Country,NAJOSA PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Lithgow,Yes,3.0,12,0,12,0,12,12,2022,,,
LIQH400100744,Liquor - hotel licence,1960-03-07 00:00:00,Current,1960-03-07 00:00:00,Trading,Novotel Sydney Brighton Beach,Cnr Grand Pde & Princess St,BRIGHTON-LE-SANDS,2216.0,-33.960213,151.155899,Bayside,,Metropolitan,Ajay Vaid,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to kee",Yes,No,No,Yes,No,Yes,Yes,No,Monterey - Brighton-le-Sands - Kyeemagh,No,2.0,15,15,30,0,30,30,2022,,,
LIQH400104650,Liquor - hotel licence,1960-03-07 00:00:00,Current,1960-03-07 00:00:00,Trading,Pendle Inn Hotel,223 Wentworth Ave,PENDLE HILL,2145.0,-33.800799,150.956904,Parramatta,,Metropolitan,Michael Bray,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Toongabbie - Constitution Hill,No,1.0,24,6,30,0,30,30,2022,,,
