Location_Name,Date,TotalCount,Hour,Day,DayNo
Park Street,2025-04-12 01:00:00+00:00,584,1,Saturday,6
Park Street,2025-04-12 00:00:00+00:00,751,0,Saturday,6
Market Street,2025-04-12 00:00:00+00:00,143,0,Saturday,6
Bridge Street,2025-04-12 00:00:00+00:00,154,0,Saturday,6
Elizabeth Street,2025-04-12 00:00:00+00:00,14,0,Saturday,6
Bridge Street,2025-04-11 23:00:00+00:00,168,23,Friday,5
Elizabeth Street,2025-04-11 23:00:00+00:00,37,23,Friday,5
Market Street,2025-04-11 23:00:00+00:00,227,23,Friday,5
Park Street,2025-04-11 23:00:00+00:00,1083,23,Friday,5
Bridge Street,2025-04-11 22:00:00+00:00,302,22,Friday,5
Elizabeth Street,2025-04-11 22:00:00+00:00,37,22,Friday,5
Park Street,2025-04-11 22:00:00+00:00,1669,22,Friday,5
Market Street,2025-04-11 22:00:00+00:00,434,22,Friday,5
Bridge Street,2025-04-06 01:00:00+00:00,117,1,Sunday,0
Elizabeth Street,2025-04-06 01:00:00+00:00,18,1,Sunday,0
Market Street,2025-04-06 01:00:00+00:00,105,1,Sunday,0
Park Street,2025-04-06 01:00:00+00:00,860,1,Sunday,0
Park Street,2025-04-06 00:00:00+00:00,974,0,Sunday,0
Elizabeth Street,2025-04-06 00:00:00+00:00,27,0,Sunday,0
Bridge Street,2025-04-06 00:00:00+00:00,234,0,Sunday,0
Market Street,2025-04-06 00:00:00+00:00,254,0,Sunday,0
Elizabeth Street,2025-04-05 23:00:00+00:00,60,23,Saturday,6
Bridge Street,2025-04-05 23:00:00+00:00,260,23,Saturday,6
Market Street,2025-04-05 23:00:00+00:00,393,23,Saturday,6
Park Street,2025-04-05 23:00:00+00:00,1064,23,Saturday,6
Park Street,2025-04-05 22:00:00+00:00,1667,22,Saturday,6
Market Street,2025-04-05 22:00:00+00:00,614,22,Saturday,6
Elizabeth Street,2025-04-05 22:00:00+00:00,73,22,Saturday,6
Bridge Street,2025-04-05 22:00:00+00:00,350,22,Saturday,6
Elizabeth Street,2025-04-05 01:00:00+00:00,11,1,Saturday,6
Park Street,2025-04-05 01:00:00+00:00,697,1,Saturday,6
Market Street,2025-04-05 01:00:00+00:00,78,1,Saturday,6
